,YEAR,FILE_NAME,COUNT_OF_HIGH_COMPETITION,COUNT_OF_TECNOLOGICAL_COMPETITION
0,2018,1125345.html,23,4
1,2018,1124198.html,5,5
2,2018,1124105.html,11,7
3,2018,1123360.html,10,7
4,2018,1122976.html,4,2
5,2018,1121788.html,3,10
6,2018,1120193.html,18,10
7,2018,11199.html,2,5
8,2018,1118417.html,10,7
9,2018,1118237.html,7,2
10,2018,1117480.html,12,14
11,2018,1116463.html,17,22
12,2018,1116132.html,5,8
13,2018,1115128.html,10,10
14,2018,1114995.html,16,15
15,2018,1113169.html,6,3
16,2018,1111928.html,4,4
17,2018,1111711.html,0,3
18,2018,1110803.html,5,6
19,2018,1109357.html,4,3
20,2018,1109242.html,5,5
21,2018,1108524.html,11,2
22,2018,1108426.html,2,1
23,2018,1108236.html,7,2
24,2018,1108109.html,9,5
25,2018,1107843.html,17,9
26,2018,110621.html,11,4
27,2018,110471.html,2,4
28,2018,1104657.html,5,1
29,2018,1103982.html,4,7
30,2018,1102238.html,1,7
31,2018,1101680.html,16,7
32,2018,1101239.html,3,2
33,2018,1101215.html,3,5
34,2018,1099800.html,6,2
35,2018,1099219.html,8,6
36,2018,1098151.html,4,3
37,2018,1098146.html,4,9
38,2018,1097149.html,10,14
39,2018,109657.html,18,4
40,2018,1096376.html,5,6
41,2018,1096343.html,5,11
42,2018,1095996.html,5,15
43,2018,1095651.html,4,7
44,2018,109563.html,3,5
45,2018,1095073.html,4,5
46,2018,1094093.html,5,7
47,2018,109380.html,3,3
48,2018,1093672.html,8,2
49,2018,1093082.html,2,4
50,2018,109198.html,3,2
51,2018,109177.html,8,21
52,2018,1091748.html,2,8
53,2018,1091667.html,16,14
54,2018,1091596.html,8,2
55,2018,1090872.html,3,10
56,2018,1090727.html,4,7
57,2018,1090425.html,3,4
58,2018,1090012.html,0,0
59,2018,108985.html,2,1
60,2018,1089819.html,2,1
61,2018,108772.html,6,4
62,2018,1086222.html,5,9
63,2018,1085392.html,1,1
64,2018,108516.html,4,8
65,2018,1084580.html,3,8
